Player,RK,POS,BYE WEEK,TM,Pos Rank
Kenneth Walker III,57,RB,10,SEA,17
Terry McLaurin,58,WR,14,WAS,31
Joe Burrow,59,QB,12,CIN,7
Tank Dell,60,WR,14,HOU,32
Kyler Murray,61,QB,11,ARI,8
Dak Prescott,62,QB,7,DAL,9
Chris Godwin,63,WR,11,TB,33
Aaron Jones,64,RB,6,MIN,18
Rhamondre Stevenson,65,RB,14,NE,19
Jordan Love,66,QB,10,GB,10
Dalton Kincaid,67,TE,12,BUF,5
James Conner,68,RB,11,ARI,20
Diontae Johnson,69,WR,11,CAR,34
David Montgomery,70,RB,5,DET,21
Calvin Ridley,71,WR,5,TEN,35
Rashee Rice,72,WR,6,KC,36
Zamir White,73,RB,10,LV,22
Evan Engram,74,TE,12,JAC,6
Brock Purdy,75,QB,9,SF,11
D'Andre Swift,76,RB,7,CHI,23
Jayden Reed,77,WR,10,GB,37
Najee Harris,78,RB,9,PIT,24
Jaylen Warren,79,RB,9,PIT,25
DeAndre Hopkins,80,WR,5,TEN,38
Hollywood Brown,81,WR,6,KC,39
Jayden Daniels,82,QB,14,WAS,12
Tua Tagovailoa,83,QB,6,MIA,13
Kyle Pitts,84,TE,12,ATL,7
Raheem Mostert,85,RB,6,MIA,26
Tony Pollard,86,RB,5,TEN,27
George Kittle,87,TE,9,SF,8
Jaxon Smith-Njigba,88,WR,10,SEA,40
Jared Goff,89,QB,5,DET,14
Caleb Williams,90,QB,7,CHI,15
Jordan Addison,91,WR,6,MIN,41
Jake Ferguson,92,TE,7,DAL,9
David Njoku,93,TE,10,CLE,10
Javonte Williams,94,RB,14,DEN,28
Trevor Lawrence,95,QB,12,JAC,16
Brian Robinson,96,RB,14,WAS,29
Tyjae Spears,97,RB,5,TEN,30
Justin Herbert,98,QB,5,LAC,17
Xavier Worthy,99,WR,6,KC,42
Courtland Sutton,100,WR,14,DEN,43
Zack Moss,101,RB,12,CIN,31
Devin Singletary,102,RB,11,NYG,32
Christian Watson,103,WR,10,GB,44
Ladd McConkey,104,WR,5,LAC,45
Dallas Goedert,105,TE,5,PHI,11
Austin Ekeler,106,RB,14,WAS,33
Kirk Cousins,107,QB,12,ATL,18
Rome Odunze,108,WR,7,CHI,46
Tyler Lockett,109,WR,10,SEA,47
Brock Bowers,110,TE,10,LV,12
Jonathon Brooks,111,RB,11,CAR,34
Matthew Stafford,112,QB,6,LAR,19
Pat Freiermuth,113,TE,9,PIT,13
Jakobi Meyers,114,WR,10,LV,48
Ezekiel Elliott,115,RB,7,DAL,35
Chase Brown,116,RB,12,CIN,36
Dalton Schultz,117,TE,14,HOU,14
Aaron Rodgers,118,QB,12,NYJ,20
Brian Thomas,119,WR,12,JAC,49
T.J. Hockenson,120,TE,6,MIN,15
Jerome Ford,121,RB,10,CLE,37
Jameson Williams,122,WR,5,DET,50
Gus Edwards,123,RB,5,LAC,38
Deshaun Watson,124,QB,10,CLE,21
Cole Kmet,125,TE,7,CHI,16
Nick Chubb,126,RB,10,CLE,39
Curtis Samuel,127,WR,12,BUF,51
Keon Coleman,128,WR,12,BUF,52
Baker Mayfield,129,QB,11,TB,22
Trey Benson,130,RB,11,ARI,40
Joshua Palmer,131,WR,5,LAC,53
Zach Charbonnet,132,RB,10,SEA,41
Geno Smith,133,QB,10,SEA,23
Josh Downs,134,WR,14,IND,54
Brandin Cooks,135,WR,7,DAL,55
Mike Williams,136,WR,12,NYJ,56
Rashid Shaheed,137,WR,12,NO,57
Romeo Doubs,138,WR,10,GB,58
Luke Musgrave,139,TE,10,GB,17
Blake Corum,140,RB,6,LAR,42
Will Levis,141,QB,5,TEN,24
Antonio Gibson,142,RB,14,NE,43
Chuba Hubbard,143,RB,11,CAR,44
Jerry Jeudy,144,WR,10,CLE,59
Jaleel McLaughlin,145,RB,14,DEN,45
Khalil Shakir,146,WR,12,BUF,60
Jahan Dotson,147,WR,14,WAS,61
Kendre Miller,148,RB,12,NO,46
Ty Chandler,149,RB,6,MIN,47
Hunter Henry,150,TE,14,NE,18
Rico Dowdle,151,RB,7,DAL,48
Adam Thielen,152,WR,11,CAR,62
Tyler Allgeier,153,RB,12,ATL,49
Gabe Davis,154,WR,12,JAC,63
Derek Carr,155,QB,12,NO,25
Daniel Jones,156,QB,11,NYG,26
MarShawn Lloyd,157,RB,10,GB,50
DeMario Douglas,158,WR,14,NE,64
Cade Otton,159,TE,11,TB,19
Baltimore Ravens,160,DST,14,BAL,1
Khalil Herbert,161,RB,7,CHI,51
J.K. Dobbins,162,RB,5,LAC,52
Adonai Mitchell,163,WR,14,IND,65
Dontayvion Wicks,164,WR,10,GB,66
Roschon Johnson,165,RB,7,CHI,53
Bryce Young,166,QB,11,CAR,27
Michael Wilson,167,WR,11,ARI,67
San Francisco 49ers,168,DST,9,SF,2
Chigoziem Okonkwo,169,TE,5,TEN,20
Dallas Cowboys,170,DST,7,DAL,3
Rashod Bateman,171,WR,14,BAL,68
Quentin Johnston,172,WR,5,LAC,69
Tyler Conklin,173,TE,12,NYJ,21
Wan'Dale Robinson,174,WR,11,NYG,70
New York Jets,175,DST,12,NYJ,4
Cleveland Browns,176,DST,10,CLE,5
Russell Wilson,177,QB,9,PIT,28
Marvin Mims,178,WR,14,DEN,71
