Player,Rank,AVG PICK,7 DAY +/-,%ROST,POS,TM
Packers D/STG,197,168.7,-0.3,6.5,ST,BD/
Jake Bates,198,168.7,-0.2,1.8,tK,DE
Drake Maye,199,168.8,-0.1,6.5,QB,NE
Michael Badgley,200,169.0,-0.3,32.8,tK,DE
Daniel Carlson,201,169.0,0.3,3.4,VK,L
Hunter Henry,202,169.0,0.1,5.5,TE,NE
Will Levis,203,169.1,0.4,3.4,QB,TEN
Bo Nix,204,169.1,-0.1,4.3,QB,DEN
Clyde Edwards-Helaire,205,169.1,-0.1,4.4,RB,KC
Russell Wilson,206,169.1,-0.2,5.4,QB,PIT
Patriots D/STN,207,169.1,0.0,4.0,ST,ED/
Vikings STMin,208,169.2,0.0,6.0,ST,D/
Jahan Dotson,209,169.2,0.2,4.2,WR,WSH
Giants D/STNY,210,169.2,-0.1,2.8,ST,GD/
Colts STInd,211,169.2,-0.1,11.0,ST,D/
Joshua Palmer,212,169.2,0.0,15.6,WR,LAC
Alexander Mattison,213,169.2,-0.1,4.6,RB,LV
Chris Boswell,214,169.3,-0.4,3.3,tK,PI
Luke Musgrave,215,169.3,-0.2,4.3,TE,GB
Dontayvion Wicks,216,169.3,0.2,3.0,WR,GB
Jason Myers,217,169.3,0.1,6.0,aK,SE
Chigoziem Okonkwo,218,169.3,0.3,4.4,TE,TEN
Josh Downs,219,169.4,-0.2,5.8,WR,IND
Geno Smith,220,169.4,0.1,8.4,QB,SEA
Tyrone Tracy Jr.,221,169.4,-0.1,2.8,RB,NYG
Luke McCaffrey,222,169.4,0.0,3.4,WR,WSH
Ja'Lynn Polk,223,169.4,0.1,3.6,WR,NE
uentin Johnston,224,169.4,-0.2,17.4,WR,LAC
Tom Brady,225,169.4,0.3,1.2,QB,TB
Dawson Knox,226,169.5,0.1,2.3,TE,BUF
Isaiah Likely,227,169.5,-0.1,3.2,TE,BAL
Buccaneers D/STT,228,169.5,0.2,3.4,ST,BD/
Noah Fant,229,169.5,0.0,2.0,TE,SEA
